номер аудиофайла	порядковый номер	правильный ответ	неправильный ответ1	неправильный ответ2	неправильный ответ3	!	?	.		контрольная сумма
280	242	Ты пугаешься?	Ты пугаешься!	Ты пугаешься 	Ты пугаешься.	2	1	4	3	=SUM(G243:J243)
819	243	Он опасается 	Он опасается!	Он опасается.	Он опасается?	4	1	3	2	=SUM(G244:J244)
281	244	Она трепещет?	Она трепещет.	Она трепещет!	Она трепещет 	2	3	1	4	=SUM(G245:J245)
820	245	Мы боимся 	Мы боимся.	Мы боимся?	Мы боимся!	4	3	2	1	=SUM(G246:J246)
582	246	Вы переживаете.	Вы переживаете 	Вы переживаете?	Вы переживаете!	3	4	2	1	=SUM(G247:J247)
51	247	Они страшатся!	Они страшатся.	Они страшатся?	Они страшатся 	1	3	2	4	=SUM(G248:J248)
282	248	Я радуюсь?	Я радуюсь!	Я радуюсь 	Я радуюсь.	2	1	4	3	=SUM(G249:J249)
52	249	Ты ликуешь!	Ты ликуешь?	Ты ликуешь.	Ты ликуешь 	1	2	3	4	=SUM(G250:J250)
283	250	Он восторгается?	Он восторгается.	Он восторгается 	Он восторгается!	2	3	4	1	=SUM(G251:J251)
583	251	Она улыбается.	Она улыбается 	Она улыбается!	Она улыбается?	3	4	1	2	=SUM(G252:J252)
821	252	Мы радоваться 	Мы радоваться?	Мы радоваться.	Мы радоваться!	4	2	3	1	=SUM(G253:J253)
584	253	Вы веселитесь.	Вы веселитесь 	Вы веселитесь!	Вы веселитесь?	3	4	1	2	=SUM(G254:J254)
53	254	Они счастливы!	Они счастливы.	Они счастливы?	Они счастливы 	1	3	2	4	=SUM(G255:J255)
284	255	Я сержусь?	Я сержусь!	Я сержусь 	Я сержусь.	2	1	4	3	=SUM(G256:J256)
822	256	Ты злишься 	Ты злишься!	Ты злишься.	Ты злишься?	4	1	3	2	=SUM(G257:J257)
285	257	Он возмущается?	Он возмущается.	Он возмущается!	Он возмущается 	2	3	1	4	=SUM(G258:J258)
823	258	Она негодует 	Она негодует.	Она негодует?	Она негодует!	4	3	2	1	=SUM(G259:J259)
585	259	Мы сердимся.	Мы сердимся 	Мы сердимся?	Мы сердимся!	3	4	2	1	=SUM(G260:J260)
286	260	Вы раздражаетесь?	Вы раздражаетесь.	Вы раздражаетесь 	Вы раздражаетесь!	2	3	4	1	=SUM(G261:J261)
586	261	Они злятся.	Они злятся 	Они злятся!	Они злятся?	3	4	1	2	=SUM(G262:J262)
824	262	Я прощаю 	Я прощаю?	Я прощаю.	Я прощаю!	4	2	3	1	=SUM(G263:J263)
587	263	Я иду.	Я иду 	Я иду!	Я иду?	3	4	1	2	=SUM(G264:J264)
54	264	Она спит!	Она спит.	Она спит?	Она спит 	1	3	2	4	=SUM(G265:J265)
287	265	Он читает?	Он читает!	Он читает 	Он читает.	2	1	4	3	=SUM(G266:J266)
825	266	Мы едим 	Мы едим!	Мы едим.	Мы едим?	4	1	3	2	=SUM(G267:J267)
288	267	Вы пишете?	Вы пишете.	Вы пишете!	Вы пишете 	2	3	1	4	=SUM(G268:J268)
826	268	Они говорят 	Они говорят.	Они говорят?	Они говорят!	4	3	2	1	=SUM(G269:J269)
588	269	Солнце светит.	Солнце светит 	Солнце светит?	Солнце светит!	3	4	2	1	=SUM(G270:J270)
55	270	Дождь идёт!	Дождь идёт.	Дождь идёт?	Дождь идёт 	1	3	2	4	=SUM(G271:J271)
289	271	Ветер дует?	Ветер дует!	Ветер дует 	Ветер дует.	2	1	4	3	=SUM(G272:J272)
56	272	Ребёнок плачет!	Ребёнок плачет?	Ребёнок плачет.	Ребёнок плачет 	1	2	3	4	=SUM(G273:J273)
290	273	Собака лает?	Собака лает.	Собака лает 	Собака лает!	2	3	4	1	=SUM(G274:J274)
589	274	Кошка мяукает.	Кошка мяукает 	Кошка мяукает!	Кошка мяукает?	3	4	1	2	=SUM(G275:J275)
291	275	Птица поёт?	Птица поёт 	Птица поёт?	Птица поёт?	2	4	2	2	=SUM(G276:J276)
57	276	Часы тикают!	Часы тикают.	Часы тикают?	Часы тикают 	1	3	2	4	=SUM(G277:J277)
292	277	Огонь горит?	Огонь горит!	Огонь горит 	Огонь горит.	2	1	4	3	=SUM(G278:J278)
827	278	Вода течёт 	Вода течёт!	Вода течёт.	Вода течёт?	4	1	3	2	=SUM(G279:J279)
293	279	Лист падает?	Лист падает.	Лист падает!	Лист падает 	2	3	1	4	=SUM(G280:J280)
828	280	Дверь скрипит 	Дверь скрипит.	Дверь скрипит?	Дверь скрипит!	4	3	2	1	=SUM(G281:J281)
590	281	Звонок звенит.	Звонок звенит 	Звонок звенит?	Звонок звенит!	3	4	2	1	=SUM(G282:J282)
58	282	Мотор работает!	Мотор работает.	Мотор работает?	Мотор работает 	1	3	2	4	=SUM(G283:J283)
294	283	Я знаю?	Я знаю!	Я знаю 	Я знаю.	2	1	4	3	=SUM(G284:J284)
591	284	Ты видишь.	Ты видишь 	Ты видишь!	Ты видишь?	3	4	1	2	=SUM(G285:J285)
59	285	Он слышит!	Он слышит.	Он слышит?	Он слышит 	1	3	2	4	=SUM(G286:J286)
295	286	Она чувствует?	Она чувствует!	Она чувствует 	Она чувствует.	2	1	4	3	=SUM(G287:J287)
829	287	Мы помним 	Мы помним!	Мы помним.	Мы помним?	4	1	3	2	=SUM(G288:J288)
296	288	Вы понимаете?	Вы понимаете.	Вы понимаете!	Вы понимаете 	2	3	1	4	=SUM(G289:J289)
830	289	Они думают 	Они думают.	Они думают?	Они думают!	4	3	2	1	=SUM(G290:J290)
592	290	Я хочу.	Я хочу 	Я хочу?	Я хочу!	3	4	2	1	=SUM(G291:J291)
60	291	Ты можешь!	Ты можешь.	Ты можешь?	Ты можешь 	1	3	2	4	=SUM(G292:J292)
297	292	Он должен?	Он должен!	Он должен 	Он должен.	2	1	4	3	=SUM(G293:J293)
61	293	Она любит!	Она любит?	Она любит.	Она любит 	1	2	3	4	=SUM(G294:J294)
298	294	Мы ценим?	Мы ценим.	Мы ценим 	Мы ценим!	2	3	4	1	=SUM(G295:J295)
593	295	Вы уважаете.	Вы уважаете 	Вы уважаете!	Вы уважаете?	3	4	1	2	=SUM(G296:J296)
831	296	Они ждут 	Они ждут?	Они ждут.	Они ждут!	4	2	3	1	=SUM(G297:J297)
594	297	Я беру.	Я беру 	Я беру!	Я беру?	3	4	1	2	=SUM(G298:J298)
62	298	Ты даёшь!	Ты даёшь.	Ты даёшь?	Ты даёшь 	1	3	2	4	=SUM(G299:J299)
299	299	Он берёт?	Он берёт!	Он берёт 	Он берёт.	2	1	4	3	=SUM(G300:J300)
832	300	Она отдаёт 	Она отдаёт!	Она отдаёт.	Она отдаёт?	4	1	3	2	=SUM(G301:J301)
300	301	Мы несем?	Мы несем.	Мы несем!	Мы несем 	2	3	1	4	=SUM(G302:J302)
833	302	Вы кладёте 	Вы кладёте.	Вы кладёте?	Вы кладёте!	4	3	2	1	=SUM(G303:J303)
595	303	Они держат.	Они держат 	Они держат?	Они держат!	3	4	2	1	=SUM(G304:J304)
301	304	Я пишу?	Я пишу.	Я пишу 	Я пишу!	2	3	4	1	=SUM(G305:J305)
596	305	Ты рисуешь.	Ты рисуешь 	Ты рисуешь!	Ты рисуешь?	3	4	1	2	=SUM(G306:J306)
834	306	Он строит 	Он строит?	Он строит.	Он строит!	4	2	3	1	=SUM(G307:J307)
597	307	Она шьёт.	Она шьёт 	Она шьёт!	Она шьёт?	3	4	1	2	=SUM(G308:J308)
63	308	Мы клеим!	Мы клеим.	Мы клеим?	Мы клеим 	1	3	2	4	=SUM(G309:J309)
302	309	Вы режете?	Вы режете!	Вы режете 	Вы режете.	2	1	4	3	=SUM(G310:J310)
835	310	Они чинят 	Они чинят!	Они чинят.	Они чинят?	4	1	3	2	=SUM(G311:J311)
303	311	Я готовлю?	Я готовлю.	Я готовлю!	Я готовлю 	2	3	1	4	=SUM(G312:J312)
836	312	Ты печёшь 	Ты печёшь.	Ты печёшь?	Ты печёшь!	4	3	2	1	=SUM(G313:J313)
598	313	Он жарит.	Он жарит 	Он жарит?	Он жарит!	3	4	2	1	=SUM(G314:J314)
64	314	Она варит!	Она варит.	Она варит?	Она варит 	1	3	2	4	=SUM(G315:J315)
304	315	Мы мешаем?	Мы мешаем!	Мы мешаем 	Мы мешаем.	2	1	4	3	=SUM(G316:J316)
65	316	Вы наливаете!	Вы наливаете?	Вы наливаете.	Вы наливаете 	1	2	3	4	=SUM(G317:J317)
305	317	Они едят?	Они едят.	Они едят 	Они едят!	2	3	4	1	=SUM(G318:J318)
599	318	Я пью.	Я пью 	Я пью!	Я пью?	3	4	1	2	=SUM(G319:J319)
837	319	Ты кушаешь 	Ты кушаешь?	Ты кушаешь.	Ты кушаешь!	4	2	3	1	=SUM(G320:J320)
600	320	Он глотает.	Он глотает 	Он глотает!	Он глотает?	3	4	1	2	=SUM(G321:J321)
66	321	Она жуёт!	Она жуёт.	Она жуёт?	Она жуёт 	1	3	2	4	=SUM(G322:J322)
306	322	Мы пробуем?	Мы пробуем!	Мы пробуем 	Мы пробуем.	2	1	4	3	=SUM(G323:J323)
838	323	Вы закусываете 	Вы закусываете!	Вы закусываете.	Вы закусываете?	4	1	3	2	=SUM(G324:J324)
307	324	Они обедают?	Они обедают.	Они обедают!	Они обедают 	2	3	1	4	=SUM(G325:J325)
839	325	Я встаю 	Я встаю.	Я встаю?	Я встаю!	4	3	2	1	=SUM(G326:J326)
601	326	Ты садишься.	Ты садишься 	Ты садишься?	Ты садишься!	3	4	2	1	=SUM(G327:J327)
67	327	Он ложится!	Он ложится.	Он ложится?	Он ложится 	1	3	2	4	=SUM(G328:J328)
308	328	Она встаёт?	Она встаёт!	Она встаёт 	Она встаёт.	2	1	4	3	=SUM(G329:J329)
602	329	Мы садимся.	Мы садимся 	Мы садимся!	Мы садимся?	3	4	1	2	=SUM(G330:J330)
68	330	Вы ложитесь!	Вы ложитесь.	Вы ложитесь?	Вы ложитесь 	1	3	2	4	=SUM(G331:J331)
309	331	Они встают?	Они встают!	Они встают 	Они встают.	2	1	4	3	=SUM(G332:J332)
840	332	Я бегу 	Я бегу!	Я бегу.	Я бегу?	4	1	3	2	=SUM(G333:J333)
310	333	Ты плывёшь?	Ты плывёшь.	Ты плывёшь!	Ты плывёшь 	2	3	1	4	=SUM(G334:J334)
841	334	Он летает 	Он летает.	Он летает?	Он летает!	4	3	2	1	=SUM(G335:J335)
603	335	Она прыгает.	Она прыгает 	Она прыгает?	Она прыгает!	3	4	2	1	=SUM(G336:J336)
69	336	Мы ходим!	Мы ходим.	Мы ходим?	Мы ходим 	1	3	2	4	=SUM(G337:J337)
311	337	Вы бегаете?	Вы бегаете!	Вы бегаете 	Вы бегаете.	2	1	4	3	=SUM(G338:J338)
70	338	Они ползут!	Они ползут?	Они ползут.	Они ползут 	1	2	3	4	=SUM(G339:J339)
312	339	Я танцую?	Я танцую.	Я танцую 	Я танцую!	2	3	4	1	=SUM(G340:J340)
604	340	Ты поёшь.	Ты поёшь 	Ты поёшь!	Ты поёшь?	3	4	1	2	=SUM(G341:J341)
842	341	Он играет 	Он играет?	Он играет.	Он играет!	4	2	3	1	=SUM(G342:J342)
313	342	Она смеётся?	Она смеётся.	Она смеётся 	Она смеётся!	2	3	4	1	=SUM(G343:J343)
605	343	Мы плачем.	Мы плачем 	Мы плачем!	Мы плачем?	3	4	1	2	=SUM(G344:J344)
843	344	Вы улыбаетесь 	Вы улыбаетесь?	Вы улыбаетесь.	Вы улыбаетесь!	4	2	3	1	=SUM(G345:J345)
606	345	Они грустят.	Они грустят 	Они грустят!	Они грустят?	3	4	1	2	=SUM(G346:J346)
71	346	Я зову!	Я зову.	Я зову?	Я зову 	1	3	2	4	=SUM(G347:J347)
314	347	Ты кричишь?	Ты кричишь!	Ты кричишь 	Ты кричишь.	2	1	4	3	=SUM(G348:J348)
844	348	Он шепчет 	Он шепчет!	Он шепчет.	Он шепчет?	4	1	3	2	=SUM(G349:J349)
315	349	Она молчит?	Она молчит.	Она молчит!	Она молчит 	2	3	1	4	=SUM(G350:J350)
845	350	Мы спорим 	Мы спорим.	Мы спорим?	Мы спорим!	4	3	2	1	=SUM(G351:J351)
607	351	Вы соглашаетесь.	Вы соглашаетесь 	Вы соглашаетесь?	Вы соглашаетесь!	3	4	2	1	=SUM(G352:J352)
72	352	Они ругаются!	Они ругаются.	Они ругаются?	Они ругаются 	1	3	2	4	=SUM(G353:J353)
316	353	Я помогаю?	Я помогаю!	Я помогаю 	Я помогаю.	2	1	4	3	=SUM(G354:J354)
608	354	Ты спасаешь.	Ты спасаешь 	Ты спасаешь!	Ты спасаешь?	3	4	1	2	=SUM(G355:J355)
73	355	Он защищает!	Он защищает.	Он защищает?	Он защищает 	1	3	2	4	=SUM(G356:J356)
317	356	Она лечит?	Она лечит!	Она лечит 	Она лечит.	2	1	4	3	=SUM(G357:J357)
846	357	Мы учим 	Мы учим!	Мы учим.	Мы учим?	4	1	3	2	=SUM(G358:J358)
318	358	Вы объясняете?	Вы объясняете.	Вы объясняете!	Вы объясняете 	2	3	1	4	=SUM(G359:J359)
847	359	Они показывают 	Они показывают.	Они показывают?	Они показывают!	4	3	2	1	=SUM(G360:J360)
609	360	Я покупаю.	Я покупаю 	Я покупаю?	Я покупаю!	3	4	2	1	=SUM(G361:J361)
74	361	Ты продаёшь!	Ты продаёшь.	Ты продаёшь?	Ты продаёшь 	1	3	2	4	=SUM(G362:J362)
319	362	Он меняет?	Он меняет!	Он меняет 	Он меняет.	2	1	4	3	=SUM(G363:J363)
75	363	 Она платит!	 Она платит?	 Она платит.	 Она платит 	1	2	3	4	=SUM(G364:J364)
320	364	 Мы копим?	 Мы копим.	 Мы копим 	 Мы копим!	2	3	4	1	=SUM(G365:J365)
610	365	 Вы тратите.	 Вы тратите 	 Вы тратите!	 Вы тратите?	3	4	1	2	=SUM(G366:J366)
848	366	 Они берут 	 Они берут?	 Они берут.	 Они берут!	4	2	3	1	=SUM(G367:J367)
611	367	 Я открываю.	 Я открываю 	 Я открываю!	 Я открываю?	3	4	1	2	=SUM(G368:J368)
76	368	 Ты закрываешь!	 Ты закрываешь.	 Ты закрываешь?	 Ты закрываешь 	1	3	2	4	=SUM(G369:J369)
321	369	 Он ломает?	 Он ломает!	 Он ломает 	 Он ломает.	2	1	4	3	=SUM(G370:J370)
849	370	 Она чинит 	 Она чинит!	 Она чинит.	 Она чинит?	4	1	3	2	=SUM(G371:J371)
322	371	 Мы моем?	 Мы моем.	 Мы моем!	 Мы моем 	2	3	1	4	=SUM(G372:J372)
850	372	 Вы стираете 	 Вы стираете.	 Вы стираете?	 Вы стираете!	4	3	2	1	=SUM(G373:J373)
612	373	 Они сушат.	 Они сушат 	 Они сушат?	 Они сушат!	3	4	2	1	=SUM(G374:J374)
323	374	 Я убираю?	 Я убираю.	 Я убираю 	 Я убираю!	2	3	4	1	=SUM(G375:J375)
613	375	 Ты пылесосишь.	 Ты пылесосишь 	 Ты пылесосишь!	 Ты пылесосишь?	3	4	1	2	=SUM(G376:J376)
851	376	 Он вытирает 	 Он вытирает?	 Он вытирает.	 Он вытирает!	4	2	3	1	=SUM(G377:J377)
614	377	 Она подметает.	 Она подметает 	 Она подметает!	 Она подметает?	3	4	1	2	=SUM(G378:J378)
77	378	 Мы сортируем!	 Мы сортируем.	 Мы сортируем?	 Мы сортируем 	1	3	2	4	=SUM(G379:J379)
324	379	 Вы выбрасываете?	 Вы выбрасываете!	 Вы выбрасываете 	 Вы выбрасываете.	2	1	4	3	=SUM(G380:J380)
852	380	 Они уносят 	 Они уносят!	 Они уносят.	 Они уносят?	4	1	3	2	=SUM(G381:J381)
325	381	 Я звоню?	 Я звоню.	 Я звоню!	 Я звоню 	2	3	1	4	=SUM(G382:J382)
853	382	 Ты пишешь 	 Ты пишешь.	 Ты пишешь?	 Ты пишешь!	4	3	2	1	=SUM(G383:J383)
615	383	 Он отправляет.	 Он отправляет 	 Он отправляет?	 Он отправляет!	3	4	2	1	=SUM(G384:J384)
78	384	 Она получает!	 Она получает.	 Она получает?	 Она получает 	1	3	2	4	=SUM(G385:J385)
326	385	 Мы читаем?	 Мы читаем!	 Мы читаем 	 Мы читаем.	2	1	4	3	=SUM(G386:J386)
79	386	 Вы отвечаете!	 Вы отвечаете?	 Вы отвечаете.	 Вы отвечаете 	1	2	3	4	=SUM(G387:J387)
327	387	 Они переписывают?	 Они переписывают.	 Они переписывают 	 Они переписывают!	2	3	4	1	=SUM(G388:J388)
616	388	 Я смотрю.	 Я смотрю 	 Я смотрю!	 Я смотрю?	3	4	1	2	=SUM(G389:J389)
854	389	 Ты наблюдаешь 	 Ты наблюдаешь?	 Ты наблюдаешь.	 Ты наблюдаешь!	4	2	3	1	=SUM(G390:J390)
617	390	 Он рассматривает.	 Он рассматривает 	 Он рассматривает!	 Он рассматривает?	3	4	1	2	=SUM(G391:J391)
80	391	 Она замечает!	 Она замечает.	 Она замечает?	 Она замечает 	1	3	2	4	=SUM(G392:J392)
328	392	 Мы видим?	 Мы видим!	 Мы видим 	 Мы видим.	2	1	4	3	=SUM(G393:J393)
855	393	 Вы глядите 	 Вы глядите!	 Вы глядите.	 Вы глядите?	4	1	3	2	=SUM(G394:J394)
329	394	 Они смотрят?	 Они смотрят.	 Они смотрят!	 Они смотрят 	2	3	1	4	=SUM(G395:J395)
856	395	 Я слышу 	 Я слышу.	 Я слышу?	 Я слышу!	4	3	2	1	=SUM(G396:J396)
618	396	 Ты прислушиваешься.	 Ты прислушиваешься 	 Ты прислушиваешься?	 Ты прислушиваешься!	3	4	2	1	=SUM(G397:J397)
81	397	 Он различает!	 Он различает.	 Он различает?	 Он различает 	1	3	2	4	=SUM(G398:J398)
330	398	 Она улавливает?	 Она улавливает!	 Она улавливает 	 Она улавливает.	2	1	4	3	=SUM(G399:J399)
619	399	 Мы слушаем.	 Мы слушаем 	 Мы слушаем!	 Мы слушаем?	3	4	1	2	=SUM(G400:J400)
82	400	 Вы вслушиваетесь!	 Вы вслушиваетесь.	 Вы вслушиваетесь?	 Вы вслушиваетесь 	1	3	2	4	=SUM(G401:J401)
331	401	 Они слышат?	 Они слышат!	 Они слышат 	 Они слышат.	2	1	4	3	=SUM(G402:J402)
857	402	 Я чувствую 	 Я чувствую!	 Я чувствую.	 Я чувствую?	4	1	3	2	=SUM(G403:J403)
332	403	 Ты ощущаешь?	 Ты ощущаешь.	 Ты ощущаешь!	 Ты ощущаешь 	2	3	1	4	=SUM(G404:J404)
858	404	 Он трогает 	 Он трогает?	 Он трогает.	 Он трогает!	4	2	3	1	=SUM(G405:J405)
620	405	 Она гладит.	 Она гладит 	 Она гладит!	 Она гладит?	3	4	1	2	=SUM(G406:J406)
83	406	 Мы касаемся!	 Мы касаемся.	 Мы касаемся?	 Мы касаемся 	1	3	2	4	=SUM(G407:J407)
333	407	 Вы ощущаете?	 Вы ощущаете!	 Вы ощущаете 	 Вы ощущаете.	2	1	4	3	=SUM(G408:J408)
859	408	 Они чувствуют 	 Они чувствуют!	 Они чувствуют.	 Они чувствуют?	4	1	3	2	=SUM(G409:J409)
334	409	 Я помню?	 Я помню.	 Я помню!	 Я помню 	2	3	1	4	=SUM(G410:J410)
860	410	 Ты запоминаешь 	 Ты запоминаешь.	 Ты запоминаешь?	 Ты запоминаешь!	4	3	2	1	=SUM(G411:J411)
621	411	 Он вспоминает.	 Он вспоминает 	 Он вспоминает?	 Он вспоминает!	3	4	2	1	=SUM(G412:J412)
84	412	 Она забывает!	 Она забывает.	 Она забывает?	 Она забывает 	1	3	2	4	=SUM(G413:J413)
335	413	 Мы храним?	 Мы храним!	 Мы храним 	 Мы храним.	2	1	4	3	=SUM(G414:J414)
85	414	 Вы восстанавливаете!	 Вы восстанавливаете?	 Вы восстанавливаете.	 Вы восстанавливаете 	1	2	3	4	=SUM(G415:J415)
336	415	 Они помнят?	 Они помнят.	 Они помнят 	 Они помнят!	2	3	4	1	=SUM(G416:J416)
622	416	 Я верю.	 Я верю 	 Я верю!	 Я верю?	3	4	1	2	=SUM(G417:J417)
861	417	 Ты доверяешь 	 Ты доверяешь?	 Ты доверяешь.	 Ты доверяешь!	4	2	3	1	=SUM(G418:J418)
623	418	 Он сомневается.	 Он сомневается 	 Он сомневается!	 Он сомневается?	3	4	1	2	=SUM(G419:J419)
86	419	 Она убеждается!	 Она убеждается.	 Она убеждается?	 Она убеждается 	1	3	2	4	=SUM(G420:J420)
337	420	 Мы верим?	 Мы верим!	 Мы верим 	 Мы верим.	2	1	4	3	=SUM(G421:J421)
862	421	 Вы проверяете 	 Вы проверяете!	 Вы проверяете.	 Вы проверяете?	4	1	3	2	=SUM(G422:J422)
338	422	 Они сомневаются?	 Они сомневаются.	 Они сомневаются!	 Они сомневаются 	2	3	1	4	=SUM(G423:J423)
863	423	 Я надеюсь 	 Я надеюсь.	 Я надеюсь?	 Я надеюсь!	4	3	2	1	=SUM(G424:J424)
624	424	 Ты ждёшь.	 Ты ждёшь 	 Ты ждёшь?	 Ты ждёшь!	3	4	2	1	=SUM(G425:J425)
87	425	 Он мечтает!	 Он мечтает.	 Он мечтает?	 Он мечтает 	1	3	2	4	=SUM(G426:J426)
339	426	 Она фантазирует?	 Она фантазирует!	 Она фантазирует 	 Она фантазирует.	2	1	4	3	=SUM(G427:J427)
625	427	 Мы желаем.	 Мы желаем 	 Мы желаем!	 Мы желаем?	3	4	1	2	=SUM(G428:J428)
88	428	 Вы стремитесь!	 Вы стремитесь.	 Вы стремитесь?	 Вы стремитесь 	1	3	2	4	=SUM(G429:J429)
340	429	 Они надеются?	 Они надеются!	 Они надеются 	 Они надеются.	2	1	4	3	=SUM(G430:J430)
864	430	 Я боюсь 	 Я боюсь!	 Я боюсь.	 Я боюсь?	4	1	3	2	=SUM(G431:J431)
341	431	 Ты пугаешься?	 Ты пугаешься.	 Ты пугаешься!	 Ты пугаешься 	2	3	1	4	=SUM(G432:J432)
865	432	 Он опасается 	 Он опасается.	 Он опасается?	 Он опасается!	4	3	2	1	=SUM(G433:J433)
626	433	 Она трепещет.	 Она трепещет 	 Она трепещет?	 Она трепещет!	3	4	2	1	=SUM(G434:J434)
89	434	 Мы боимся!	 Мы боимся.	 Мы боимся?	 Мы боимся 	1	3	2	4	=SUM(G435:J435)
342	435	 Вы переживаете?	 Вы переживаете!	 Вы переживаете 	 Вы переживаете.	2	1	4	3	=SUM(G436:J436)
90	436	 Они страшатся!	 Они страшатся?	 Они страшатся.	 Они страшатся 	1	2	3	4	=SUM(G437:J437)
343	437	 Я радуюсь?	 Я радуюсь.	 Я радуюсь 	 Я радуюсь!	2	3	4	1	=SUM(G438:J438)
627	438	 Ты ликуешь.	 Ты ликуешь 	 Ты ликуешь!	 Ты ликуешь?	3	4	1	2	=SUM(G439:J439)
866	439	 Он восторгается 	 Он восторгается?	 Он восторгается.	 Он восторгается!	4	2	3	1	=SUM(G440:J440)
628	440	 Она улыбается.	 Она улыбается 	 Она улыбается!	 Она улыбается?	3	4	1	2	=SUM(G441:J441)
91	441	 Мы радуемся!	 Мы радуемся.	 Мы радуемся?	 Мы радуемся 	1	3	2	4	=SUM(G442:J442)
344	442	 Вы веселитесь?	 Вы веселитесь!	 Вы веселитесь 	 Вы веселитесь.	2	1	4	3	=SUM(G443:J443)
867	443	 Они счастливы 	 Они счастливы!	 Они счастливы.	 Они счастливы?	4	1	3	2	=SUM(G444:J444)
345	444	 Я сержусь?	 Я сержусь.	 Я сержусь!	 Я сержусь 	2	3	1	4	=SUM(G445:J445)
868	445	 Ты злишься 	 Ты злишься.	 Ты злишься?	 Ты злишься!	4	3	2	1	=SUM(G446:J446)
629	446	 Он возмущается.	 Он возмущается 	 Он возмущается?	 Он возмущается!	3	4	2	1	=SUM(G447:J447)
346	447	 Она негодует?	 Она негодует.	 Она негодует 	 Она негодует!	2	3	4	1	=SUM(G448:J448)
630	448	 Мы сердимся.	 Мы сердимся 	 Мы сердимся!	 Мы сердимся?	3	4	1	2	=SUM(G449:J449)
869	449	 Вы раздражаетесь 	 Вы раздражаетесь?	 Вы раздражаетесь.	 Вы раздражаетесь!	4	2	3	1	=SUM(G450:J450)
631	450	 Они злятся.	 Они злятся 	 Они злятся!	 Они злятся?	3	4	1	2	=SUM(G451:J451)
92	451	 Я прощаю!	 Я прощаю.	 Я прощаю?	 Я прощаю 	1	3	2	4	=SUM(G452:J452)
347	452	 Ты прощаешь?	 Ты прощаешь!	 Ты прощаешь 	 Ты прощаешь.	2	1	4	3	=SUM(G453:J453)
870	453	 Он прощает 	 Он прощает!	 Он прощает.	 Он прощает?	4	1	3	2	=SUM(G454:J454)
348	454	 Она прощает?	 Она прощает.	 Она прощает!	 Она прощает 	2	3	1	4	=SUM(G455:J455)
871	455	 Мы прощаем 	 Мы прощаем.	 Мы прощаем?	 Мы прощаем!	4	3	2	1	=SUM(G456:J456)
632	456	 Вы прощаете.	 Вы прощаете 	 Вы прощаете?	 Вы прощаете!	3	4	2	1	=SUM(G457:J457)
93	457	 Они прощают!	 Они прощают.	 Они прощают?	 Они прощают 	1	3	2	4	=SUM(G458:J458)
349	458	 Я плачу?	 Я плачу!	 Я плачу 	 Я плачу.	2	1	4	3	=SUM(G459:J459)
94	459	 Ты плачешь!	 Ты плачешь?	 Ты плачешь.	 Ты плачешь 	1	2	3	4	=SUM(G460:J460)
350	460	 Он плачет?	 Он плачет.	 Он плачет 	 Он плачет!	2	3	4	1	=SUM(G461:J461)
633	461	 Она плачет.	 Она плачет 	 Она плачет!	 Она плачет?	3	4	1	2	=SUM(G462:J462)
872	462	 Мы плачем 	 Мы плачем?	 Мы плачем.	 Мы плачем!	4	2	3	1	=SUM(G463:J463)
634	463	Вы плачете.	Вы плачете 	Вы плачете!	Вы плачете?	3	4	1	2	=SUM(G464:J464)
95	464	Они плачут!	Они плачут.	Они плачут?	Они плачут 	1	3	2	4	=SUM(G465:J465)
351	465	Я зову?	Я зову!	Я зову 	Я зову.	2	1	4	3	=SUM(G466:J466)
873	466	Ты зовёшь 	Ты зовёшь!	Ты зовёшь.	Ты зовёшь?	4	1	3	2	=SUM(G467:J467)
352	467	Он зовёт?	Он зовёт.	Он зовёт!	Он зовёт 	2	3	1	4	=SUM(G468:J468)
874	468	Она зовёт 	Она зовёт.	Она зовёт?	Она зовёт!	4	3	2	1	=SUM(G469:J469)
635	469	Мы зовём.	Мы зовём 	Мы зовём?	Мы зовём!	3	4	2	1	=SUM(G470:J470)
96	470	Вы зовёте!	Вы зовёте.	Вы зовёте?	Вы зовёте 	1	3	2	4	=SUM(G471:J471)
353	471	Они зовут?	Они зовут!	Они зовут 	Они зовут.	2	1	4	3	=SUM(G472:J472)
636	472	Я несу.	Я несу 	Я несу!	Я несу?	3	4	1	2	=SUM(G473:J473)
97	473	Ты несёшь!	Ты несёшь.	Ты несёшь?	Ты несёшь 	1	3	2	4	=SUM(G474:J474)
354	474	Он несёт?	Он несёт!	Он несёт 	Он несёт.	2	1	4	3	=SUM(G475:J475)
875	475	Она несёт 	Она несёт!	Она несёт.	Она несёт?	4	1	3	2	=SUM(G476:J476)
355	476	Мы несём?	Мы несём.	Мы несём!	Мы несём 	2	3	1	4	=SUM(G477:J477)
876	477	Вы несёте 	Вы несёте.	Вы несёте?	Вы несёте!	4	3	2	1	=SUM(G478:J478)
637	478	Они несут.	Они несут 	Они несут?	Они несут!	3	4	2	1	=SUM(G479:J479)
98	479	Я пью!	Я пью.	Я пью?	Я пью 	1	3	2	4	=SUM(G480:J480)
356	480	Ты пьёшь?	Ты пьёшь!	Ты пьёшь 	Ты пьёшь.	2	1	4	3	=SUM(G481:J481)
99	481	Он пьёт!	Он пьёт?	Он пьёт.	Он пьёт 	1	2	3	4	=SUM(G482:J482)
